cases_m,cases_f,cases,year,week,pop,pop_f,pop_m
4430,4331,8761,2020,1,47318050,24107382,23210668
4670,4774,9444,2020,2,47318050,24107382,23210668
4926,5038,9964,2020,3,47318050,24107382,23210668
5107,4907,10014,2020,4,47318050,24107382,23210668
5030,4980,10010,2020,5,47318050,24107382,23210668
4597,4648,9245,2020,6,47318050,24107382,23210668
4497,4385,8882,2020,7,47318050,24107382,23210668
4202,4239,8441,2020,8,47318050,24107382,23210668
4319,4107,8426,2020,9,47318050,24107382,23210668
4380,4124,8504,2020,10,47318050,24107382,23210668
4894,4626,9520,2020,11,47318050,24107382,23210668
6935,5956,12891,2020,12,47318050,24107382,23210668
10538,9324,19862,2020,13,47318050,24107382,23210668
10551,10438,20989,2020,14,47318050,24107382,23210668
8184,9163,17347,2020,15,47318050,24107382,23210668
6166,7094,13260,2020,16,47318050,24107382,23210668
5060,5413,10473,2020,17,47318050,24107382,23210668
4410,4615,9025,2020,18,47318050,24107382,23210668
4117,4358,8475,2020,19,47318050,24107382,23210668
3802,3744,7546,2020,20,47318050,24107382,23210668
3822,3837,7659,2020,21,47318050,24107382,23210668
3901,3736,7637,2020,22,47318050,24107382,23210668
3649,3505,7154,2020,23,47318050,24107382,23210668
3472,3389,6861,2020,24,47318050,24107382,23210668
3494,3553,7047,2020,25,47318050,24107382,23210668
3746,3781,7527,2020,26,47318050,24107382,23210668
3787,3865,7652,2020,27,47318050,24107382,23210668
3904,3855,7759,2020,28,47318050,24107382,23210668
3759,3825,7584,2020,29,47318050,24107382,23210668
3977,3870,7847,2020,30,47318050,24107382,23210668
4221,4394,8615,2020,31,47318050,24107382,23210668
4024,4393,8417,2020,32,47318050,24107382,23210668
4120,4073,8193,2020,33,47318050,24107382,23210668
4018,3898,7916,2020,34,47318050,24107382,23210668
3984,3987,7971,2020,35,47318050,24107382,23210668
3999,3797,7796,2020,36,47318050,24107382,23210668
4106,3918,8024,2020,37,47318050,24107382,23210668
4117,4074,8191,2020,38,47318050,24107382,23210668
4264,3826,8090,2020,39,47318050,24107382,23210668
4322,3886,8208,2020,40,47318050,24107382,23210668
4447,4166,8613,2020,41,47318050,24107382,23210668
4542,4066,8608,2020,42,47318050,24107382,23210668
4866,4625,9491,2020,43,47318050,24107382,23210668
4974,4640,9614,2020,44,47318050,24107382,23210668
5353,4979,10332,2020,45,47318050,24107382,23210668
5121,4922,10043,2020,46,47318050,24107382,23210668
4950,4765,9715,2020,47,47318050,24107382,23210668
5017,4546,9563,2020,48,47318050,24107382,23210668
4875,4680,9555,2020,49,47318050,24107382,23210668
4912,4641,9553,2020,50,47318050,24107382,23210668
4752,4556,9308,2020,51,47318050,24107382,23210668
4746,4292,9038,2020,52,47318050,24107382,23210668
4945,4596,9541,2020,53,47318050,24107382,23210668
