Total Nacional;Comunidades y Ciudades Autónomas;Tipo de dato;Periodo;Total
Total Nacional;;Dato base;2023SM52;10.855
Total Nacional;;Dato base;2023SM51;9.812
Total Nacional;;Dato base;2023SM50;9.043
Total Nacional;;Dato base;2023SM49;8.446
Total Nacional;;Dato base;2023SM48;8.588
Total Nacional;;Dato base;2023SM47;8.114
Total Nacional;;Dato base;2023SM46;8.288
Total Nacional;;Dato base;2023SM45;8.120
Total Nacional;;Dato base;2023SM44;7.687
Total Nacional;;Dato base;2023SM43;7.719
Total Nacional;;Dato base;2023SM42;7.575
Total Nacional;;Dato base;2023SM41;7.557
Total Nacional;;Dato base;2023SM40;7.791
Total Nacional;;Dato base;2023SM39;7.526
Total Nacional;;Dato base;2023SM38;7.346
Total Nacional;;Dato base;2023SM37;7.333
Total Nacional;;Dato base;2023SM36;7.621
Total Nacional;;Dato base;2023SM35;7.869
Total Nacional;;Dato base;2023SM34;8.641
Total Nacional;;Dato base;2023SM33;7.875
Total Nacional;;Dato base;2023SM32;7.744
Total Nacional;;Dato base;2023SM31;7.645
Total Nacional;;Dato base;2023SM30;7.513
Total Nacional;;Dato base;2023SM29;7.802
Total Nacional;;Dato base;2023SM28;7.675
Total Nacional;;Dato base;2023SM27;7.448
Total Nacional;;Dato base;2023SM26;7.703
Total Nacional;;Dato base;2023SM25;7.447
Total Nacional;;Dato base;2023SM24;7.589
Total Nacional;;Dato base;2023SM23;7.672
Total Nacional;;Dato base;2023SM22;7.526
Total Nacional;;Dato base;2023SM21;7.732
Total Nacional;;Dato base;2023SM20;7.546
Total Nacional;;Dato base;2023SM19;7.531
Total Nacional;;Dato base;2023SM18;7.592
Total Nacional;;Dato base;2023SM17;8.122
Total Nacional;;Dato base;2023SM16;7.996
Total Nacional;;Dato base;2023SM15;8.198
Total Nacional;;Dato base;2023SM14;8.127
Total Nacional;;Dato base;2023SM13;8.301
Total Nacional;;Dato base;2023SM12;8.400
Total Nacional;;Dato base;2023SM11;8.924
Total Nacional;;Dato base;2023SM10;9.680
Total Nacional;;Dato base;2023SM09;9.585
Total Nacional;;Dato base;2023SM08;9.634
Total Nacional;;Dato base;2023SM07;9.866
Total Nacional;;Dato base;2023SM06;10.178
Total Nacional;;Dato base;2023SM05;10.141
Total Nacional;;Dato base;2023SM04;9.745
Total Nacional;;Dato base;2023SM03;9.850
Total Nacional;;Dato base;2023SM02;10.066
Total Nacional;;Dato base;2023SM01;9.958
Total Nacional;;Dato base;2022SM52;8.384
Total Nacional;;Dato base;2022SM51;9.768
Total Nacional;;Dato base;2022SM50;9.511
Total Nacional;;Dato base;2022SM49;9.491
Total Nacional;;Dato base;2022SM48;9.026
Total Nacional;;Dato base;2022SM47;8.535
Total Nacional;;Dato base;2022SM46;8.441
Total Nacional;;Dato base;2022SM45;8.238
Total Nacional;;Dato base;2022SM44;7.681
Total Nacional;;Dato base;2022SM43;7.960
Total Nacional;;Dato base;2022SM42;8.164
Total Nacional;;Dato base;2022SM41;7.808
Total Nacional;;Dato base;2022SM40;7.993
Total Nacional;;Dato base;2022SM39;7.552
Total Nacional;;Dato base;2022SM38;7.411
Total Nacional;;Dato base;2022SM37;7.634
Total Nacional;;Dato base;2022SM36;7.677
Total Nacional;;Dato base;2022SM35;7.687
Total Nacional;;Dato base;2022SM34;8.197
Total Nacional;;Dato base;2022SM33;8.129
Total Nacional;;Dato base;2022SM32;9.304
Total Nacional;;Dato base;2022SM31;9.478
Total Nacional;;Dato base;2022SM30;9.968
Total Nacional;;Dato base;2022SM29;11.014
Total Nacional;;Dato base;2022SM28;10.900
Total Nacional;;Dato base;2022SM27;9.115
Total Nacional;;Dato base;2022SM26;8.606
Total Nacional;;Dato base;2022SM25;8.573
Total Nacional;;Dato base;2022SM24;9.373
Total Nacional;;Dato base;2022SM23;8.193
Total Nacional;;Dato base;2022SM22;8.167
Total Nacional;;Dato base;2022SM21;8.238
Total Nacional;;Dato base;2022SM20;8.930
Total Nacional;;Dato base;2022SM19;8.832
Total Nacional;;Dato base;2022SM18;8.524
Total Nacional;;Dato base;2022SM17;8.511
Total Nacional;;Dato base;2022SM16;8.410
Total Nacional;;Dato base;2022SM15;8.707
Total Nacional;;Dato base;2022SM14;8.714
Total Nacional;;Dato base;2022SM13;8.525
Total Nacional;;Dato base;2022SM12;8.523
Total Nacional;;Dato base;2022SM11;8.574
Total Nacional;;Dato base;2022SM10;8.537
Total Nacional;;Dato base;2022SM09;8.694
Total Nacional;;Dato base;2022SM08;8.931
Total Nacional;;Dato base;2022SM07;9.316
Total Nacional;;Dato base;2022SM06;10.103
Total Nacional;;Dato base;2022SM05;10.886
Total Nacional;;Dato base;2022SM04;11.205
Total Nacional;;Dato base;2022SM03;10.855
Total Nacional;;Dato base;2022SM02;10.670
Total Nacional;;Dato base;2022SM01;9.953
Total Nacional;;Dato base;2021SM52;9.998
Total Nacional;;Dato base;2021SM51;9.822
Total Nacional;;Dato base;2021SM50;9.543
Total Nacional;;Dato base;2021SM49;9.049
Total Nacional;;Dato base;2021SM48;9.418
Total Nacional;;Dato base;2021SM47;8.884
Total Nacional;;Dato base;2021SM46;8.833
Total Nacional;;Dato base;2021SM45;8.772
Total Nacional;;Dato base;2021SM44;7.869
Total Nacional;;Dato base;2021SM43;8.221
Total Nacional;;Dato base;2021SM42;7.790
Total Nacional;;Dato base;2021SM41;7.644
Total Nacional;;Dato base;2021SM40;7.575
Total Nacional;;Dato base;2021SM39;7.588
Total Nacional;;Dato base;2021SM38;7.467
Total Nacional;;Dato base;2021SM37;7.550
Total Nacional;;Dato base;2021SM36;7.929
Total Nacional;;Dato base;2021SM35;7.975
Total Nacional;;Dato base;2021SM34;8.254
Total Nacional;;Dato base;2021SM33;8.807
Total Nacional;;Dato base;2021SM32;8.903
Total Nacional;;Dato base;2021SM31;8.691
Total Nacional;;Dato base;2021SM30;8.392
Total Nacional;;Dato base;2021SM29;8.505
Total Nacional;;Dato base;2021SM28;7.593
Total Nacional;;Dato base;2021SM27;7.574
Total Nacional;;Dato base;2021SM26;7.587
Total Nacional;;Dato base;2021SM25;7.312
Total Nacional;;Dato base;2021SM24;7.833
Total Nacional;;Dato base;2021SM23;7.737
Total Nacional;;Dato base;2021SM22;7.371
Total Nacional;;Dato base;2021SM21;7.454
Total Nacional;;Dato base;2021SM20;7.627
Total Nacional;;Dato base;2021SM19;7.759
Total Nacional;;Dato base;2021SM18;8.082
Total Nacional;;Dato base;2021SM17;7.880
Total Nacional;;Dato base;2021SM16;8.112
Total Nacional;;Dato base;2021SM15;7.964
Total Nacional;;Dato base;2021SM14;8.097
Total Nacional;;Dato base;2021SM13;8.218
Total Nacional;;Dato base;2021SM12;8.211
Total Nacional;;Dato base;2021SM11;8.097
Total Nacional;;Dato base;2021SM10;8.331
Total Nacional;;Dato base;2021SM09;8.560
Total Nacional;;Dato base;2021SM08;9.044
Total Nacional;;Dato base;2021SM07;9.509
Total Nacional;;Dato base;2021SM06;10.386
Total Nacional;;Dato base;2021SM05;11.590
Total Nacional;;Dato base;2021SM04;12.725
Total Nacional;;Dato base;2021SM03;12.977
Total Nacional;;Dato base;2021SM02;11.881
Total Nacional;;Dato base;2021SM01;10.487
Total Nacional;;Dato base;2020SM53;9.541
Total Nacional;;Dato base;2020SM52;9.038
Total Nacional;;Dato base;2020SM51;9.308
Total Nacional;;Dato base;2020SM50;9.553
Total Nacional;;Dato base;2020SM49;9.555
Total Nacional;;Dato base;2020SM48;9.563
Total Nacional;;Dato base;2020SM47;9.715
Total Nacional;;Dato base;2020SM46;10.043
Total Nacional;;Dato base;2020SM45;10.332
Total Nacional;;Dato base;2020SM44;9.614
Total Nacional;;Dato base;2020SM43;9.491
Total Nacional;;Dato base;2020SM42;8.608
Total Nacional;;Dato base;2020SM41;8.613
Total Nacional;;Dato base;2020SM40;8.208
Total Nacional;;Dato base;2020SM39;8.090
Total Nacional;;Dato base;2020SM38;8.191
Total Nacional;;Dato base;2020SM37;8.024
Total Nacional;;Dato base;2020SM36;7.796
Total Nacional;;Dato base;2020SM35;7.971
Total Nacional;;Dato base;2020SM34;7.916
Total Nacional;;Dato base;2020SM33;8.193
Total Nacional;;Dato base;2020SM32;8.417
Total Nacional;;Dato base;2020SM31;8.615
Total Nacional;;Dato base;2020SM30;7.847
Total Nacional;;Dato base;2020SM29;7.584
Total Nacional;;Dato base;2020SM28;7.759
Total Nacional;;Dato base;2020SM27;7.652
Total Nacional;;Dato base;2020SM26;7.527
Total Nacional;;Dato base;2020SM25;7.047
Total Nacional;;Dato base;2020SM24;6.861
Total Nacional;;Dato base;2020SM23;7.154
Total Nacional;;Dato base;2020SM22;7.637
Total Nacional;;Dato base;2020SM21;7.659
Total Nacional;;Dato base;2020SM20;7.546
Total Nacional;;Dato base;2020SM19;8.475
Total Nacional;;Dato base;2020SM18;9.025
Total Nacional;;Dato base;2020SM17;10.473
Total Nacional;;Dato base;2020SM16;13.260
Total Nacional;;Dato base;2020SM15;17.347
Total Nacional;;Dato base;2020SM14;20.989
Total Nacional;;Dato base;2020SM13;19.862
Total Nacional;;Dato base;2020SM12;12.891
Total Nacional;;Dato base;2020SM11;9.520
Total Nacional;;Dato base;2020SM10;8.504
Total Nacional;;Dato base;2020SM09;8.426
Total Nacional;;Dato base;2020SM08;8.441
Total Nacional;;Dato base;2020SM07;8.882
Total Nacional;;Dato base;2020SM06;9.245
Total Nacional;;Dato base;2020SM05;10.010
Total Nacional;;Dato base;2020SM04;10.014
Total Nacional;;Dato base;2020SM03;9.964
Total Nacional;;Dato base;2020SM02;9.444
Total Nacional;;Dato base;2020SM01;8.761
Total Nacional;;Dato base;2019SM52;8.381
Total Nacional;;Dato base;2019SM51;8.450
Total Nacional;;Dato base;2019SM50;8.375
Total Nacional;;Dato base;2019SM49;8.062
Total Nacional;;Dato base;2019SM48;8.367
Total Nacional;;Dato base;2019SM47;8.258
Total Nacional;;Dato base;2019SM46;8.077
Total Nacional;;Dato base;2019SM45;7.733
Total Nacional;;Dato base;2019SM44;7.752
Total Nacional;;Dato base;2019SM43;7.585
Total Nacional;;Dato base;2019SM42;7.373
Total Nacional;;Dato base;2019SM41;7.376
Total Nacional;;Dato base;2019SM40;7.033
Total Nacional;;Dato base;2019SM39;7.089
Total Nacional;;Dato base;2019SM38;7.058
Total Nacional;;Dato base;2019SM37;6.986
Total Nacional;;Dato base;2019SM36;6.948
Total Nacional;;Dato base;2019SM35;6.939
Total Nacional;;Dato base;2019SM34;6.972
Total Nacional;;Dato base;2019SM33;7.177
Total Nacional;;Dato base;2019SM32;7.366
Total Nacional;;Dato base;2019SM31;7.177
Total Nacional;;Dato base;2019SM30;7.505
Total Nacional;;Dato base;2019SM29;7.357
Total Nacional;;Dato base;2019SM28;7.497
Total Nacional;;Dato base;2019SM27;8.103
Total Nacional;;Dato base;2019SM26;7.616
Total Nacional;;Dato base;2019SM25;7.459
Total Nacional;;Dato base;2019SM24;7.066
Total Nacional;;Dato base;2019SM23;7.558
Total Nacional;;Dato base;2019SM22;7.676
Total Nacional;;Dato base;2019SM21;7.499
Total Nacional;;Dato base;2019SM20;7.587
Total Nacional;;Dato base;2019SM19;7.783
Total Nacional;;Dato base;2019SM18;7.802
Total Nacional;;Dato base;2019SM17;7.804
Total Nacional;;Dato base;2019SM16;7.857
Total Nacional;;Dato base;2019SM15;8.099
Total Nacional;;Dato base;2019SM14;8.134
Total Nacional;;Dato base;2019SM13;8.216
Total Nacional;;Dato base;2019SM12;8.082
Total Nacional;;Dato base;2019SM11;8.246
Total Nacional;;Dato base;2019SM10;8.640
Total Nacional;;Dato base;2019SM09;8.972
Total Nacional;;Dato base;2019SM08;9.269
Total Nacional;;Dato base;2019SM07;9.413
Total Nacional;;Dato base;2019SM06;9.732
Total Nacional;;Dato base;2019SM05;10.023
Total Nacional;;Dato base;2019SM04;10.199
Total Nacional;;Dato base;2019SM03;10.527
Total Nacional;;Dato base;2019SM02;10.078
Total Nacional;;Dato base;2019SM01;9.180
Total Nacional;;Dato base;2018SM52;8.689
Total Nacional;;Dato base;2018SM51;8.468
Total Nacional;;Dato base;2018SM50;8.359
