Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;;Total;Todas las edades;Dato base;2023SM52;10.855
Total Nacional;;Total;Todas las edades;Dato base;2023SM51;9.812
Total Nacional;;Total;Todas las edades;Dato base;2023SM50;9.043
Total Nacional;;Total;Todas las edades;Dato base;2023SM49;8.446
Total Nacional;;Total;Todas las edades;Dato base;2023SM48;8.588
Total Nacional;;Total;Todas las edades;Dato base;2023SM47;8.114
Total Nacional;;Total;Todas las edades;Dato base;2023SM46;8.288
Total Nacional;;Total;Todas las edades;Dato base;2023SM45;8.120
Total Nacional;;Total;Todas las edades;Dato base;2023SM44;7.687
Total Nacional;;Total;Todas las edades;Dato base;2023SM43;7.719
Total Nacional;;Total;Todas las edades;Dato base;2023SM42;7.575
Total Nacional;;Total;Todas las edades;Dato base;2023SM41;7.557
Total Nacional;;Total;Todas las edades;Dato base;2023SM40;7.791
Total Nacional;;Total;Todas las edades;Dato base;2023SM39;7.526
Total Nacional;;Total;Todas las edades;Dato base;2023SM38;7.346
Total Nacional;;Total;Todas las edades;Dato base;2023SM37;7.333
Total Nacional;;Total;Todas las edades;Dato base;2023SM36;7.621
Total Nacional;;Total;Todas las edades;Dato base;2023SM35;7.869
Total Nacional;;Total;Todas las edades;Dato base;2023SM34;8.641
Total Nacional;;Total;Todas las edades;Dato base;2023SM33;7.875
Total Nacional;;Total;Todas las edades;Dato base;2023SM32;7.744
Total Nacional;;Total;Todas las edades;Dato base;2023SM31;7.645
Total Nacional;;Total;Todas las edades;Dato base;2023SM30;7.513
Total Nacional;;Total;Todas las edades;Dato base;2023SM29;7.802
Total Nacional;;Total;Todas las edades;Dato base;2023SM28;7.675
Total Nacional;;Total;Todas las edades;Dato base;2023SM27;7.448
Total Nacional;;Total;Todas las edades;Dato base;2023SM26;7.703
Total Nacional;;Total;Todas las edades;Dato base;2023SM25;7.447
Total Nacional;;Total;Todas las edades;Dato base;2023SM24;7.589
Total Nacional;;Total;Todas las edades;Dato base;2023SM23;7.672
Total Nacional;;Total;Todas las edades;Dato base;2023SM22;7.526
Total Nacional;;Total;Todas las edades;Dato base;2023SM21;7.732
Total Nacional;;Total;Todas las edades;Dato base;2023SM20;7.546
Total Nacional;;Total;Todas las edades;Dato base;2023SM19;7.531
Total Nacional;;Total;Todas las edades;Dato base;2023SM18;7.592
Total Nacional;;Total;Todas las edades;Dato base;2023SM17;8.122
Total Nacional;;Total;Todas las edades;Dato base;2023SM16;7.996
Total Nacional;;Total;Todas las edades;Dato base;2023SM15;8.198
Total Nacional;;Total;Todas las edades;Dato base;2023SM14;8.127
Total Nacional;;Total;Todas las edades;Dato base;2023SM13;8.301
Total Nacional;;Total;Todas las edades;Dato base;2023SM12;8.400
Total Nacional;;Total;Todas las edades;Dato base;2023SM11;8.924
Total Nacional;;Total;Todas las edades;Dato base;2023SM10;9.680
Total Nacional;;Total;Todas las edades;Dato base;2023SM09;9.585
