year;week;cases;cases_m;cases_f
2000;1;6090;3196;2894
2000;2;6398;3291;3107
2000;3;6271;3263;3008
2000;4;6023;3130;2893
2000;5;5552;2860;2692
2000;6;5065;2719;2346
2000;7;4821;2555;2266
2000;8;4732;2507;2225
2000;9;4509;2384;2125
2000;10;4496;2407;2089
2000;11;4297;2316;1981
2000;12;4291;2317;1974
2000;13;4488;2421;2067
2000;14;4365;2306;2059
2000;15;4574;2438;2136
2000;16;4328;2263;2065
2000;17;4316;2328;1988
2000;18;4315;2255;2060
2000;19;4164;2276;1888
2000;20;4123;2207;1916
2000;21;3916;2059;1857
2000;22;4295;2273;2022
2000;23;4050;2168;1882
2000;24;4200;2223;1977
2000;25;4018;2191;1827
2000;26;4104;2146;1958
2000;27;4041;2155;1886
2000;28;3896;2096;1800
2000;29;4021;2142;1879
2000;30;3908;2088;1820
2000;31;4047;2078;1969
2000;32;3966;2073;1893
2000;33;4120;2114;2006
2000;34;3811;2036;1775
2000;35;3930;2107;1823
2000;36;3860;2070;1790
2000;37;3923;2125;1798
2000;38;3748;1988;1760
2000;39;3789;2093;1696
2000;40;4094;2251;1843
2000;41;4122;2219;1903
2000;42;4332;2300;2032
2000;43;4289;2273;2016
2000;44;4040;2167;1873
2000;45;4399;2383;2016
2000;46;4456;2446;2010
2000;47;4462;2376;2086
2000;48;4444;2326;2118
2000;49;4271;2315;1956
2000;50;4410;2378;2032
2000;51;4521;2414;2107
2000;52;4732;2539;2193
2001;1;4897;2635;2262
2001;2;4749;2553;2196
2001;3;4668;2515;2153
2001;4;4813;2574;2239
2001;5;4805;2580;2225
2001;6;4600;2488;2112
2001;7;4755;2526;2229
2001;8;4623;2443;2180
2001;9;4722;2510;2212
2001;10;4766;2489;2277
2001;11;4476;2337;2139
2001;12;4411;2384;2027
2001;13;4294;2287;2007
2001;14;4262;2300;1962
2001;15;4195;2310;1885
2001;16;4285;2288;1997
2001;17;4354;2401;1953
2001;18;4392;2345;2047
2001;19;4394;2384;2010
2001;20;4426;2319;2107
2001;21;4383;2331;2052
2001;22;4602;2430;2172
2001;23;4283;2266;2017
2001;24;4084;2170;1914
2001;25;4228;2277;1951
2001;26;4492;2380;2112
2001;27;4314;2271;2043
2001;28;4116;2238;1878
2001;29;3904;2077;1827
2001;30;4057;2159;1898
2001;31;4599;2316;2283
2001;32;4320;2301;2019
2001;33;4108;2116;1992
2001;34;4185;2204;1981
2001;35;4019;2145;1874
2001;36;3998;2134;1864
2001;37;3889;2098;1791
2001;38;3954;2139;1815
2001;39;4059;2205;1854
2001;40;4176;2295;1881
2001;41;4140;2211;1929
2001;42;4147;2274;1873
2001;43;4263;2296;1967
2001;44;4223;2265;1958
2001;45;4286;2313;1973
2001;46;4717;2483;2234
2001;47;4642;2496;2146
2001;48;4816;2546;2270
2001;49;4723;2502;2221
2001;50;4837;2580;2257
2001;51;5078;2753;2325
2001;52;5559;2876;2683
2002;1;5878;3020;2858
2002;2;5950;3031;2919
2002;3;5872;3119;2753
2002;4;5693;2970;2723
2002;5;5697;3002;2695
2002;6;5457;2804;2653
2002;7;5326;2827;2499
2002;8;5113;2684;2429
2002;9;5082;2700;2382
2002;10;5064;2696;2368
2002;11;4906;2643;2263
2002;12;4814;2487;2327
2002;13;4439;2351;2088
2002;14;4701;2523;2178
2002;15;4590;2414;2176
2002;16;4612;2514;2098
2002;17;4594;2366;2228
2002;18;4349;2308;2041
2002;19;4234;2271;1963
2002;20;4322;2308;2014
2002;21;4260;2281;1979
2002;22;4158;2219;1939
2002;23;4103;2221;1882
2002;24;4464;2357;2107
2002;25;4504;2300;2204
2002;26;4396;2301;2095
2002;27;4162;2241;1921
2002;28;3959;2068;1891
2002;29;4204;2302;1902
2002;30;4045;2134;1911
2002;31;4134;2214;1920
2002;32;3878;2112;1766
2002;33;3857;2091;1766
2002;34;3834;2026;1808
2002;35;3894;2028;1866
2002;36;3932;2101;1831
2002;37;3933;2106;1827
2002;38;4021;2162;1859
2002;39;3989;2123;1866
2002;40;4129;2262;1867
2002;41;4203;2251;1952
2002;42;4292;2288;2004
2002;43;4314;2309;2005
2002;44;4272;2298;1974
2002;45;4410;2376;2034
2002;46;4451;2396;2055
2002;47;4316;2323;1993
2002;48;4680;2532;2148
2002;49;4628;2470;2158
2002;50;4843;2584;2259
2002;51;4824;2533;2291
2002;52;4828;2528;2300
2003;1;5074;2736;2338
2003;2;5019;2660;2359
2003;3;5416;2894;2522
2003;4;5347;2864;2483
2003;5;5212;2758;2454
2003;6;5277;2773;2504
2003;7;4973;2603;2370
2003;8;5232;2795;2437
2003;9;4976;2580;2396
2003;10;4891;2527;2364
2003;11;4696;2498;2198
2003;12;4684;2506;2178
2003;13;4650;2478;2172
2003;14;4588;2497;2091
2003;15;4643;2403;2240
2003;16;4555;2405;2150
2003;17;4607;2390;2217
2003;18;4485;2366;2119
2003;19;4384;2385;1999
2003;20;4511;2372;2139
2003;21;4427;2373;2054
