cases_m,cases_f,cases,year,week,pop,pop_f,pop_m
4207,4019,8226,2010,1,46486621,23504349,22982272
4409,4264,8673,2010,2,46486621,23504349,22982272
4229,4122,8351,2010,3,46486621,23504349,22982272
4252,3837,8089,2010,4,46486621,23504349,22982272
4196,3976,8172,2010,5,46486621,23504349,22982272
4127,3854,7981,2010,6,46486621,23504349,22982272
4294,4028,8322,2010,7,46486621,23504349,22982272
4121,3968,8089,2010,8,46486621,23504349,22982272
3824,3687,7511,2010,9,46486621,23504349,22982272
3921,3612,7533,2010,10,46486621,23504349,22982272
3996,3815,7811,2010,11,46486621,23504349,22982272
3966,3638,7604,2010,12,46486621,23504349,22982272
3840,3417,7257,2010,13,46486621,23504349,22982272
3717,3614,7331,2010,14,46486621,23504349,22982272
3891,3622,7513,2010,15,46486621,23504349,22982272
3700,3489,7189,2010,16,46486621,23504349,22982272
3798,3461,7259,2010,17,46486621,23504349,22982272
3605,3246,6851,2010,18,46486621,23504349,22982272
3663,3254,6917,2010,19,46486621,23504349,22982272
3867,3436,7303,2010,20,46486621,23504349,22982272
3758,3446,7204,2010,21,46486621,23504349,22982272
3605,3595,7200,2010,22,46486621,23504349,22982272
3440,3076,6516,2010,23,46486621,23504349,22982272
3407,3124,6531,2010,24,46486621,23504349,22982272
3632,3201,6833,2010,25,46486621,23504349,22982272
3690,3567,7257,2010,26,46486621,23504349,22982272
3764,3625,7389,2010,27,46486621,23504349,22982272
3697,3638,7335,2010,28,46486621,23504349,22982272
3570,3349,6919,2010,29,46486621,23504349,22982272
3476,3209,6685,2010,30,46486621,23504349,22982272
3484,3206,6690,2010,31,46486621,23504349,22982272
3548,3242,6790,2010,32,46486621,23504349,22982272
3471,3115,6586,2010,33,46486621,23504349,22982272
3543,3323,6866,2010,34,46486621,23504349,22982272
3395,3200,6595,2010,35,46486621,23504349,22982272
3440,3021,6461,2010,36,46486621,23504349,22982272
3312,3056,6368,2010,37,46486621,23504349,22982272
3503,3031,6534,2010,38,46486621,23504349,22982272
3548,3144,6692,2010,39,46486621,23504349,22982272
3695,3305,7000,2010,40,46486621,23504349,22982272
3513,3205,6718,2010,41,46486621,23504349,22982272
3654,3452,7106,2010,42,46486621,23504349,22982272
3761,3579,7340,2010,43,46486621,23504349,22982272
3816,3502,7318,2010,44,46486621,23504349,22982272
3771,3563,7334,2010,45,46486621,23504349,22982272
3817,3561,7378,2010,46,46486621,23504349,22982272
4049,3516,7565,2010,47,46486621,23504349,22982272
4001,3794,7795,2010,48,46486621,23504349,22982272
4058,3754,7812,2010,49,46486621,23504349,22982272
4034,3668,7702,2010,50,46486621,23504349,22982272
4061,3892,7953,2010,51,46486621,23504349,22982272
4484,4056,8540,2010,52,46486621,23504349,22982272
4593,4315,8908,2011,1,46667175,23617698,23049476
4276,4194,8470,2011,2,46667175,23617698,23049476
4271,4175,8446,2011,3,46667175,23617698,23049476
4531,4199,8730,2011,4,46667175,23617698,23049476
4534,4152,8686,2011,5,46667175,23617698,23049476
4500,4223,8723,2011,6,46667175,23617698,23049476
4349,4177,8526,2011,7,46667175,23617698,23049476
4152,4014,8166,2011,8,46667175,23617698,23049476
4133,3716,7849,2011,9,46667175,23617698,23049476
4130,3875,8005,2011,10,46667175,23617698,23049476
4095,3784,7879,2011,11,46667175,23617698,23049476
3953,3604,7557,2011,12,46667175,23617698,23049476
3902,3775,7677,2011,13,46667175,23617698,23049476
3881,3716,7597,2011,14,46667175,23617698,23049476
3601,3502,7103,2011,15,46667175,23617698,23049476
3626,3321,6947,2011,16,46667175,23617698,23049476
3656,3464,7120,2011,17,46667175,23617698,23049476
3589,3381,6970,2011,18,46667175,23617698,23049476
3682,3353,7035,2011,19,46667175,23617698,23049476
3697,3206,6903,2011,20,46667175,23617698,23049476
3721,3532,7253,2011,21,46667175,23617698,23049476
3493,3292,6785,2011,22,46667175,23617698,23049476
3512,3220,6732,2011,23,46667175,23617698,23049476
3568,3326,6894,2011,24,46667175,23617698,23049476
3645,3431,7076,2011,25,46667175,23617698,23049476
3924,3502,7426,2011,26,46667175,23617698,23049476
3541,3372,6913,2011,27,46667175,23617698,23049476
3507,3360,6867,2011,28,46667175,23617698,23049476
3489,3168,6657,2011,29,46667175,23617698,23049476
3528,3200,6728,2011,30,46667175,23617698,23049476
3551,3394,6945,2011,31,46667175,23617698,23049476
3528,3329,6857,2011,32,46667175,23617698,23049476
3620,3467,7087,2011,33,46667175,23617698,23049476
3462,3466,6928,2011,34,46667175,23617698,23049476
3371,3299,6670,2011,35,46667175,23617698,23049476
3468,3184,6652,2011,36,46667175,23617698,23049476
3503,3242,6745,2011,37,46667175,23617698,23049476
3276,3143,6419,2011,38,46667175,23617698,23049476
3522,3291,6813,2011,39,46667175,23617698,23049476
3536,3411,6947,2011,40,46667175,23617698,23049476
3715,3424,7139,2011,41,46667175,23617698,23049476
3684,3492,7176,2011,42,46667175,23617698,23049476
3824,3513,7337,2011,43,46667175,23617698,23049476
3818,3643,7461,2011,44,46667175,23617698,23049476
3737,3698,7435,2011,45,46667175,23617698,23049476
3789,3644,7433,2011,46,46667175,23617698,23049476
3744,3602,7346,2011,47,46667175,23617698,23049476
3971,3708,7679,2011,48,46667175,23617698,23049476
4025,3824,7849,2011,49,46667175,23617698,23049476
4148,3882,8030,2011,50,46667175,23617698,23049476
4354,4054,8408,2011,51,46667175,23617698,23049476
4476,4277,8753,2011,52,46667175,23617698,23049476
4425,4304,8729,2012,1,46818216,23719207,23099009
4606,4556,9162,2012,2,46818216,23719207,23099009
4656,4606,9262,2012,3,46818216,23719207,23099009
4560,4404,8964,2012,4,46818216,23719207,23099009
4633,4667,9300,2012,5,46818216,23719207,23099009
5064,5028,10092,2012,6,46818216,23719207,23099009
5403,5744,11147,2012,7,46818216,23719207,23099009
5311,5714,11025,2012,8,46818216,23719207,23099009
5161,5422,10583,2012,9,46818216,23719207,23099009
4640,4699,9339,2012,10,46818216,23719207,23099009
4573,4366,8939,2012,11,46818216,23719207,23099009
4052,4069,8121,2012,12,46818216,23719207,23099009
4189,3980,8169,2012,13,46818216,23719207,23099009
4035,3751,7786,2012,14,46818216,23719207,23099009
3882,3778,7660,2012,15,46818216,23719207,23099009
3951,3780,7731,2012,16,46818216,23719207,23099009
3918,3674,7592,2012,17,46818216,23719207,23099009
3758,3663,7421,2012,18,46818216,23719207,23099009
3945,3713,7658,2012,19,46818216,23719207,23099009
3758,3518,7276,2012,20,46818216,23719207,23099009
3698,3319,7017,2012,21,46818216,23719207,23099009
3692,3353,7045,2012,22,46818216,23719207,23099009
3515,3282,6797,2012,23,46818216,23719207,23099009
3353,3181,6534,2012,24,46818216,23719207,23099009
3510,3115,6625,2012,25,46818216,23719207,23099009
3727,3588,7315,2012,26,46818216,23719207,23099009
3344,3138,6482,2012,27,46818216,23719207,23099009
3513,3202,6715,2012,28,46818216,23719207,23099009
3455,3198,6653,2012,29,46818216,23719207,23099009
3480,3399,6879,2012,30,46818216,23719207,23099009
